 lhe rhe LE MiPf LLPf RLPf LMPf RMPf LDFr RDFr LMFr RMFr LLFr RLFr LMCe RMCe LDCe RDCe MiCe MiPa LLTe RLTe LDPa RDPa LLOc RLOc LMOc RMOc MiOc A2 
F00 0.107861095662567 0.162035384844325 0.0149204257678465 -0.0297368781926128 -0.00553037190291665 -0.0873943108344257 0.1847901943862 -0.198853838737785 -0.0318507687696424 0.411034703420873 0.319078248563115 -0.621912573891376 0.194695530043564 -0.11676981460406 -0.253654912426117 0.616481946754862 0.0495290124552889 -0.216373450344744 0.16319321449967 -0.569627767004221 -0.070020773875663 -0.019277673724694 -0.0599245400745646 -0.334073678661533 -0.00333451576756093 0.410430327105792 0.999086399672641 -0.029819796345726 -0.879172867726952 0.387413724444327 
F01 -0.234155501349399 -0.0749034263543424 0.26420431565826 -0.110705547442655 -0.0274036590149505 -0.0154980367708675 0.0322150576171318 0.114308288282955 0.0219361773730066 -0.0213645387259955 -0.0164647879101652 0.0027464656774278 0.0572371494059481 0.0176880810677715 -0.0370183976136288 -0.0234440762030473 0.0066629424753396 0.00247234791616811 -0.0148660032277101 0.0352424245925022 0.00140347767043805 0.00600972550807104 0.0158352726226702 0.0285840719478347 -0.00723655247973616 -0.0248271066624591 -0.0350581785588373 -0.0170710557208681 0.0412836535729464 -0.00285271544396504 
F02 0.148717149795915 0.131307074535386 0.0295242515968376 -0.0103754610850947 -0.00986239453224612 -0.0503431313748371 0.0917921920434597 -0.26654904277284 -0.0287195098429026 0.234881249898342 0.219668214828178 -0.111867373600636 0.13584548462081 0.0226414313871106 -0.0826386459164158 0.123239742684762 0.12432968384796 -0.282396855925313 -0.0872941757144456 0.174750856718667 -0.113946492476106 0.0669719139669079 -0.090679821567185 0.626636013804234 0.487395786019303 -0.410332608498356 -0.637832696966255 -0.47810371374312 0.749396171202734 -0.314203837325475 
F03 -0.0192524750580146 -0.0162003592117461 -0.0156641575672653 0.037804933314386 -0.00191431991315502 0.0209717572105445 -0.127589985483623 -0.487087536939016 -0.0388959651589751 -0.10136736104683 0.202676982493069 0.702562590805465 -0.0242561163377017 0.00211470897613445 -0.45986763732653 0.0358395444125637 -0.0484701281098236 -0.190254980419094 1.22094874625591 -1.10867738251147 0.00795105291832195 0.0146839770674958 -0.00452167817699969 0.136911227170943 -0.116372480566991 -0.020040787738338 0.65357809640943 -0.104031737589372 -0.101987631125724 -0.0545775024519247 
F04 -0.00331063544297739 -0.00558864312959279 -0.0214202809684038 -0.35476613022037 -0.00572546030674274 -0.141019540733678 -0.101285834196273 1.68483907072257 -0.100184270533293 -0.34593984402796 0.101919458740548 -0.755712201445809 -0.00399429616376731 -0.00266395551627585 0.0752096159369275 0.314510604406715 0.0161754653061835 0.0454955645860227 -0.422664207398871 0.270805892716815 -0.00342865346135327 0.0101417292726397 -0.0690284510279788 -0.07041948301059 0.0759115895226209 0.0126734246225075 -0.00247943114908346 -0.0537811951339478 -0.108060468181848 -0.0364185527836421 
F05 -0.15479119628092 -0.140224823964432 -0.0356124144043676 -0.0350382610161522 -0.0215890441205128 0.00895560280968966 -0.041176565066207 0.129711883684471 0.0453235997542196 -0.0656846016535813 0.0309738848449816 0.0368118844331822 0.0968881572512765 -0.0193403875664138 -0.0649956084194881 0.00809993521646458 0.0216707803235102 0.000262543531861675 -0.0400039335537689 0.0746060651313334 -0.0337527556009488 -0.0346783766109227 0.157777130433603 0.182420948692641 -0.0529269562894867 -0.120983244050946 -0.322366690831348 -0.282812564425743 0.496055188041468 0.264550288409112 
F06 -0.0121780191038784 -0.00213350741063335 -0.00179081645944115 0.00260720624663437 0.00675765187935174 0.0311880471399244 0.0282270439131194 -0.0238990317580324 0.0871869765301903 -0.121842038027378 -0.424275196459373 0.0329429443724407 0.028262506274165 -0.01176846576131 -0.563672297048252 0.832003384508608 0.176928418277362 -0.089775343483586 -0.178668837186284 1.34221742571483 0.00202510409505464 -0.00779780858689707 0.00787179923509328 -0.427388839791122 0.20372329949464 0.0817274282556273 -0.804048354513521 -0.10199678566157 -0.075176016477952 -0.00318618412456858 
F07 0.0449903593174455 0.0131569087258497 -0.00559213989437286 -0.0591448973827959 0.0170658888085292 0.0363597320811089 -0.0551881733840373 0.115026727524551 -0.00477145367546573 -0.372737713631834 -0.446944343029692 0.824908899748679 0.0636609742540607 0.01958280802759 -0.0548918623659772 -0.726671541497693 0.0981510398492541 0.349859941057637 -0.140883579045053 0.51544481054718 -0.0186036246444832 -0.0735420979870505 -0.047448149372197 -0.0418505987811353 0.0867771392216478 0.0556519624476623 -0.0622293754992382 0.081244683549792 -0.155282623702925 0.04618761793393 
F08 -0.0033207848508049 -0.027708879903782 0.00350598809489434 -0.00685233639314858 0.00474585629192293 0.00638295973898735 -0.012112651518985 0.00857715266227035 -0.0847412668169727 0.090696930897522 0.0149292231247924 0.115752768330607 -0.0113882502102624 0.0187621355100458 0.274591762206704 -0.49053030741953 -0.0339975277145491 -0.272051753654324 -0.0197615588550947 -0.424519915713909 -0.00901747633783355 0.0639332646474036 0.0768702641013436 1.06720434287908 0.0306510312832137 -0.297245954161847 -0.105645754541294 -0.0086151376182157 0.0211791355022092 0.00615724741502941 
F09 0.045038651605464 0.00740821301152874 -0.00273317176050859 0.0120238306711167 0.00325884558274688 -0.00274643318817836 0.00903940656138861 -0.0365265454694437 0.0521827209716304 0.0132772748384815 0.0544407076800353 -0.0225912864644237 -0.191558228866163 0.00678278241177976 0.11289347418802 0.00115510905398846 -0.129510141706323 -0.00701388696719669 -0.035179997261394 -0.0315395550873883 0.356756041841334 -0.00589252934819303 -0.0671559518373544 0.0081474648890252 -0.183946872234467 -0.0259584469119609 0.016846449734037 0.0346914701755219 0.061725727022342 -0.00918373365859728 
