Item,exp_ver,Subject,n_segment,uV,preadj_bline,prenoun_bline,ctx_n_words,adj_cond,noun_cond,adj,noun,lemma_adj,lemma_noun,constr_preadj,constr_postadj,gpt_logp_adj,freq_adj,pld20_adj,concr_adj,freq_noun,pld20_noun,concr_noun,p_preadj,p_postadj,DKL,c_trial,c_preadj_bline,c_prenoun_bline,c_DKL,c_p_preadj,c_p_postadj,c_constr_preadj,p_update,c_p_update,c_gpt_logp_adj
1,1,v1_CYOCM,113,2.3539705882353,-6.24119999999998,2.48034999999999,14,top,top,important,email,important,email,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,106,1.9,4.69,0.313725490196078,0.448979591836735,0.149756734617932,-0.0641831838097225,-3.93515853327767,5.93230508032547,-0.542439935307801,0.0566278610229224,0.101789278851449,-0.14180258498463,0.135254101640657,0.0451614178285268,0.673921688086793
1,1,v1_LSAXW,113,15.1207352941177,2.47805,2.81629999999999,14,top,top,important,email,important,email,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,106,1.9,4.69,0.313725490196078,0.448979591836735,0.149756734617932,-0.0641831838097225,4.78409146672231,6.26825508032547,-0.542439935307801,0.0566278610229224,0.101789278851449,-0.14180258498463,0.135254101640657,0.0451614178285268,0.673921688086793
1,1,v1_SWCAL,113,1.95725490196078,7.54360000000002,2.0071,14,top,top,important,email,important,email,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,106,1.9,4.69,0.313725490196078,0.448979591836735,0.149756734617932,-0.0641831838097225,9.84964146672232,5.45905508032547,-0.542439935307801,0.0566278610229224,0.101789278851449,-0.14180258498463,0.135254101640657,0.0451614178285268,0.673921688086793
1,1,v1B_LNWMT,128,2.12759803921569,-1.88090000000001,-4.21910000000002,14,top,top,important,email,important,email,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,106,1.9,4.69,0.313725490196078,0.448979591836735,0.149756734617932,0.0858168161902775,0.425141466722298,-0.767144919674546,-0.542439935307801,0.0566278610229224,0.101789278851449,-0.14180258498463,0.135254101640657,0.0451614178285268,0.673921688086793
1,1,v1B_WUVVT,128,8.18284313725491,-8.56164999999998,-3.0003,14,top,top,important,email,important,email,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,106,1.9,4.69,0.313725490196078,0.448979591836735,0.149756734617932,0.0858168161902775,-6.25560853327768,0.451655080325474,-0.542439935307801,0.0566278610229224,0.101789278851449,-0.14180258498463,0.135254101640657,0.0451614178285268,0.673921688086793
1,2,v2_ADFKL,31,1.1471568627451,3.81654999999999,-9.936,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,-0.884183183809723,6.12259146672229,-6.48404491967453,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2_BBINR,31,0.439852941176472,3.26445,-2.4063,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,-0.884183183809723,5.5704914667223,1.04565508032547,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2_CIQUF,31,25.276862745098,9.86624999999999,-15.8403,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,-0.884183183809723,12.1722914667223,-12.3883449196746,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2_TUQLB,31,-8.44289215686274,-11.41915,-14.66485,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,-0.884183183809723,-9.11310853327774,-11.2128949196745,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2_ZHWMK,31,3.10323529411765,-0.559700000000002,-13.2021,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,-0.884183183809723,1.7463414667223,-9.75014491967453,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2_ZXVAE,31,-6.83004901960784,-7.35385,-3.06675000000001,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,-0.884183183809723,-5.0478085332777,0.385205080325463,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2B_CYLZW,210,-6.84323529411764,-13.35025,-24.4098,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,0.905816816190277,-11.0442085332777,-20.9578449196745,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2B_EIXUN,210,4.18612745098039,2.99355,-1.73079999999999,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,0.905816816190277,5.2995914667223,1.72115508032548,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,2,v2B_ROQOU,210,-8.82446078431373,-16.1367,-10.9268,14,low,low,footer,note,footer,note,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,2731,1.15,4.61,0,0.283018867924528,0.591458669861063,0.905816816190277,-13.8306585332777,-7.47484491967454,-0.10073800006467,-0.257097629173156,-0.0641714450607578,-0.14180258498463,0.283018867924528,0.192926184112398,-6.41573831191321
1,3,v3_CRNPA,109,3.14102941176471,-4.6147,-4.44155,14,low,top,footer,email,footer,email,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,106,1.9,4.69,0.313725490196078,0.150943396226415,0.591458669861063,-0.104183183809723,-2.3086585332777,-0.989594919674529,-0.10073800006467,0.0566278610229224,-0.196246916758871,-0.14180258498463,-0.162782093969663,-0.252874777781793,-6.41573831191321
1,3,v3_PODPH,109,4.39985294117647,-12.934,-7.90854999999999,14,low,top,footer,email,footer,email,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,106,1.9,4.69,0.313725490196078,0.150943396226415,0.591458669861063,-0.104183183809723,-10.6279585332777,-4.45659491967452,-0.10073800006467,0.0566278610229224,-0.196246916758871,-0.14180258498463,-0.162782093969663,-0.252874777781793,-6.41573831191321
1,3,v3_QMZSS,109,1.30294117647059,12.3963,5.42664999999999,14,low,top,footer,email,footer,email,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,106,1.9,4.69,0.313725490196078,0.150943396226415,0.591458669861063,-0.104183183809723,14.7023414667223,8.87860508032546,-0.10073800006467,0.0566278610229224,-0.196246916758871,-0.14180258498463,-0.162782093969663,-0.252874777781793,-6.41573831191321
1,3,v3_UXUXV,109,-4.56480392156863,1.5545,2.22075,14,low,top,footer,email,footer,email,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,106,1.9,4.69,0.313725490196078,0.150943396226415,0.591458669861063,-0.104183183809723,3.8605414667223,5.67270508032547,-0.10073800006467,0.0566278610229224,-0.196246916758871,-0.14180258498463,-0.162782093969663,-0.252874777781793,-6.41573831191321
1,3,v3B_SXKSU,132,0.596127450980392,-3.36810000000001,-15.389,14,low,top,footer,email,footer,email,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,106,1.9,4.69,0.313725490196078,0.150943396226415,0.591458669861063,0.125816816190278,-1.06205853327771,-11.9370449196745,-0.10073800006467,0.0566278610229224,-0.196246916758871,-0.14180258498463,-0.162782093969663,-0.252874777781793,-6.41573831191321
1,3,v3B_ZJIVT,132,-3.03955882352941,-6.7935,-5.09460000000001,14,low,top,footer,email,footer,email,0.313725490196078,0.283018867924528,-15.42045,5,1.6,3.68,106,1.9,4.69,0.313725490196078,0.150943396226415,0.591458669861063,0.125816816190278,-4.4874585332777,-1.64264491967454,-0.10073800006467,0.0566278610229224,-0.196246916758871,-0.14180258498463,-0.162782093969663,-0.252874777781793,-6.41573831191321
1,4,v4_AXALU,24,-3.55573529411765,-3.89865000000001,1.55514999999999,14,top,low,important,note,important,note,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,2731,1.15,4.61,0,0.0204081632653061,0.149756734617932,-0.954183183809723,-1.59260853327771,5.00710508032547,-0.542439935307801,-0.257097629173156,-0.32678214971998,-0.14180258498463,0.0204081632653061,-0.0696845205468241,0.673921688086793
1,4,v4_DOSAH,24,-3.23877450980392,-0.2133,-3.55325000000001,14,top,low,important,note,important,note,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,2731,1.15,4.61,0,0.0204081632653061,0.149756734617932,-0.954183183809723,2.0927414667223,-0.101294919674536,-0.542439935307801,-0.257097629173156,-0.32678214971998,-0.14180258498463,0.0204081632653061,-0.0696845205468241,0.673921688086793
1,4,v4_UMVKT,24,1.95710784313725,-7.98249999999999,-3.7017,14,top,low,important,note,important,note,0.313725490196078,0.448979591836735,-8.33079,10587,2.7,2.14,2731,1.15,4.61,0,0.0204081632653061,0.149756734617932,-0.954183183809723,-5.67645853327769,-0.24974491967453,-0.542439935307801,-0.257097629173156,-0.32678214971998,-0.14180258498463,0.0204081632653061,-0.0696845205468241,0.673921688086793
